customer_id,customer_name,gender,member_level
100001,罗宁雪91,男,普通
100002,高晨莉92,女,铂金
100003,周怡凯93,女,普通
100004,胡涛峰94,女,白银
100005,马敏峰95,男,钻石
100006,马睿涵96,男,普通
100007,孙然阳00,男,黄金
100008,何怡阳01,男,普通
100009,朱琪豪02,男,普通
100010,罗睿佳03,男,钻石
100011,孙琪源04,男,钻石
100012,孙涛莉05,男,白银
100013,吴轩彤06,男,铂金
100014,郑欣阳07,女,白银
100015,吴欣文08,男,白银
100016,罗轩豪09,男,白银
100017,何琪阳10,女,铂金
100018,马航峰11,男,普通
100019,林怡佳12,男,黄金
100020,何涛文13,女,铂金
100021,孙宇凯14,女,白银
100022,胡博玲15,男,白银
100023,朱睿凯16,女,普通
100024,何然阳17,男,铂金
100025,郑杰峰18,女,铂金
100026,高涛凯19,女,普通
100027,孙然佳20,男,黄金
100028,朱轩彤21,男,铂金
100029,胡妍涵22,女,铂金
100030,罗杰琪23,男,铂金
100031,罗婷莉24,男,普通
100032,郭然峰25,男,白银
100033,马轩珂26,女,普通
100034,高婷琪27,女,普通
100035,马宇琪28,男,白银
100036,朱宇凯29,男,铂金
100037,胡然豪30,男,普通
100038,马宇悦31,女,黄金
100039,陈博悦32,男,白银
100040,黄然悦33,男,黑金
100041,林怡珂34,男,黄金
100042,林然涵35,女,铂金
100043,孙妍阳36,男,钻石
100044,徐怡雪37,女,普通
100045,马轩佳38,男,普通
100046,吴宁彤39,男,黄金
100047,罗宇涵40,男,黄金
100048,郭宇雪41,女,白银
100049,朱博琪42,男,黄金
100050,胡轩珂43,女,普通
100051,朱妍凯44,女,黄金
100052,郭妍珂45,女,黄金
100053,马敏琪46,女,普通
100054,陈博涵47,男,白银
100055,吴轩源48,男,白银
100056,何博源49,男,铂金
100057,孙敏豪50,女,普通
100058,何欣凯51,女,普通
100059,何欣彤52,女,普通
100060,何欣佳53,男,铂金
100061,胡睿琪54,男,普通
100062,何琪玲55,男,铂金
100063,马怡阳56,男,普通
100064,徐敏涵57,女,黑金
100065,孙轩源58,男,普通
100066,郑怡琪59,男,普通
100067,周琪彤60,男,黑金
100068,胡晨琪61,女,普通
100069,罗婷凯62,女,白银
100070,林博佳63,男,黄金
100071,郭轩佳64,男,白银
100072,何妍悦65,男,白银
100073,徐宇莉66,男,普通
100074,马怡峰67,女,黄金
100075,郑睿彤68,女,黄金
100076,吴博豪69,男,白银
100077,朱欣彤70,男,普通
100078,胡怡莉71,女,白银
100079,郭婷峰72,女,普通
100080,陈博雪73,男,铂金
100081,周宇源74,男,白银
100082,孙睿峰75,女,黑金
100083,何杰玲76,男,黄金
100084,陈欣源77,女,普通
100085,陈睿涵78,女,黄金
100086,朱宇豪79,男,铂金
100087,吴博文80,男,铂金
100088,陈航莉81,女,黄金
100089,陈宁珂82,男,黑金
100090,郑琪琪83,男,白银
100091,胡博玲84,男,黄金
100092,罗宁峰85,女,普通
100093,黄琪豪86,男,白银
100094,周婷佳87,女,黄金
100095,胡睿文88,男,黄金
100096,郭婷涵89,男,普通
100097,郭杰珂90,女,白银
100098,黄琪雪91,男,铂金
100099,吴欣玲92,男,白银
100100,郑婷凯93,女,白银
100101,孙杰峰94,女,铂金
100102,黄然珂95,女,铂金
100103,徐宇涵96,男,黄金
100104,吴博凯00,男,白银
100105,马涛豪01,男,黄金
100106,郭敏悦02,男,黄金
100107,黄琪源03,女,普通
100108,郭涛悦04,女,普通
100109,黄航珂05,男,黄金
100110,孙轩悦06,女,钻石
100111,高轩阳07,男,白银
100112,周航豪08,男,白银
100113,周杰莉09,女,普通
100114,高轩峰10,男,普通
100115,陈妍豪11,女,黄金
100116,马敏阳12,男,铂金
100117,孙博悦13,男,普通
100118,马宇琪14,男,黄金
100119,何婷涵15,男,普通
100120,徐航源16,女,白银
100121,郭怡峰17,男,白银
100122,胡航豪18,女,黄金
100123,胡婷雪19,男,黄金
100124,陈琪琪20,女,铂金
100125,陈宇峰21,女,普通
100126,何怡彤22,女,钻石
100127,郭欣文23,男,黄金
100128,朱睿豪24,女,黄金
100129,徐宁莉25,男,普通
100130,黄欣豪26,女,普通
100131,吴琪阳27,男,铂金
100132,朱博彤28,女,普通
100133,周欣源29,男,普通
100134,陈宇佳30,女,黄金
100135,陈婷雪31,男,黄金
100136,周涛珂32,男,普通
100137,孙然佳33,男,钻石
100138,黄宇源34,男,普通
100139,朱敏阳35,女,黄金
100140,罗博涵36,男,黄金
100141,吴宇豪37,女,铂金
100142,徐然雪38,女,普通
100143,罗宁凯39,女,普通
100144,罗妍凯40,女,普通
100145,林妍琪41,男,普通
100146,陈婷源42,男,普通
100147,陈杰珂43,女,黄金
100148,朱敏琪44,男,白银
100149,林轩莉45,女,钻石
100150,郭妍凯46,女,普通
100151,黄琪豪47,女,钻石
100152,罗然琪48,女,普通
100153,徐轩凯49,女,普通
100154,胡然玲50,男,普通
100155,胡婷珂51,男,普通
100156,陈宇莉52,男,白银
100157,罗睿源53,男,白银
100158,周宇源54,女,普通
100159,郭欣彤55,女,黄金
100160,吴睿悦56,男,白银
100161,林欣珂57,男,钻石
100162,胡轩琪58,男,白银
100163,郭晨佳59,男,白银
100164,朱琪玲60,男,普通
100165,郭轩文61,女,白银
100166,陈宇文62,女,黄金
100167,周然豪63,女,普通
100168,周宇雪64,男,白银
100169,朱轩豪65,女,黄金
100170,黄睿佳66,男,黄金
100171,孙怡阳67,女,普通
100172,陈琪雪68,男,铂金
100173,周晨文69,男,普通
100174,郭航凯70,女,黑金
100175,陈航文71,女,普通
100176,孙婷雪72,男,普通
100177,徐航玲73,女,普通
100178,高杰凯74,男,普通
100179,黄敏悦75,女,普通
100180,孙怡玲76,男,普通
100181,吴宁珂77,男,普通
100182,林涛玲78,男,白银
100183,林博峰79,男,普通
100184,孙轩源80,男,普通
100185,孙琪琪81,女,普通
100186,马杰莉82,男,白银
100187,马然雪83,男,铂金
100188,胡怡珂84,男,铂金
100189,郭航涵85,女,白银
100190,周轩琪86,女,普通
100191,胡然文87,女,白银
100192,孙宇源88,男,黄金
100193,孙轩峰89,男,钻石
100194,陈妍凯90,女,铂金
100195,郑琪珂91,女,普通
100196,罗航玲92,男,钻石
100197,郭怡玲93,女,铂金
100198,孙涛涵94,女,普通
100199,陈博源95,男,黄金
100200,郑航豪96,男,铂金
100201,胡宇源00,女,黄金
100202,周婷峰01,女,白银
